Number,Bin,Description,Vendor,VMRS Code,Type,On Hand Total,Alt Part Num,Inter VMRS,Major VMRS,Minor VMRS,Prev PO Facility,Tank Facility,Order Price,Last Order Date,Reorder Qty,Reorder Point,Manufacturer,Avg Ship Days
3J-15-472,SP/ORDER,"NAMEPLATE-EMERG.EXIT,FRENCH",0000205791,000-000-000,CRITICAL PART,0.0,3J-15-472,000,000,000,00003,,$0.000,1/1/1900,1.00,1,,0
3J-15-598,,"PLATE DECAL, #43",0000246865,000-000-000,CRITICAL PART,0.0,3J-15-598,000,000,000,,,$58.850,1/1/1900,0.00,0,,0
3J-16-2835R82,A CORNER,"CAP, POST, FRONT RH",0000205791,000-000-000,CRITICAL PART,1.0,3J-16-2835R82,000,000,000,00003,,$51.630,1/1/1900,1.00,1,,0
3J-16-2840R82,,"CAP, POST, LOWER RH FRONT",0000205791,000-000-000,CRITICAL PART,0.0,3J-16-2840R82,000,000,000,00003,,$22.390,1/1/1900,1.00,1,,0
3J-20-175,,"MOULDING, UNDER DRIVERS WINDOW",0000205791,000-000-000,CRITICAL PART,0.0,3J-20-175,000,000,000,00003,,$89.160,1/1/1900,1.00,1,,0
3J-20-49,,"EXTRUSION, SKIRT RAIL",0000205791,083-000-000,CRITICAL PART,0.0,3J-20-49,000,083,000,,,$57.160,1/1/1900,0.00,0,,0
3J-21-34,SP/ORDER,BUMPER RELEASE HANDLE,0000205791,000-000-000,CRITICAL PART,0.0,3J-21-34,000,000,000,00003,,$45.930,1/1/1900,1.00,1,,0
3J-21-43,/SPORDER,RUBBER SPLASHGUARD,0000205791,000-000-000,Part,0.0,3J-21-43,000,000,000,00003,,$35.560,1/1/1900,0.00,0,,0
3J-21-65,,"MODULE, FRONT BUMPER, LH",0000205791,000-000-000,Part,0.0,3J-21-65,000,000,000,00003,,$983.990,1/1/1900,1.00,1,,0
3J-21-71,,"BUMPER, FRONT",0000205791,083-000-000,CRITICAL PART,0.0,3J-21-71,000,083,000,,,"$1,745.000",1/1/1900,0.00,0,,0
3J-22-109,,SPRING,0000205791,000-000-000,CRITICAL PART,0.0,3J-22-109,000,000,000,,,$0.500,1/1/1900,0.00,0,,15
3J-22-199,,SPRING,0000205791,000-000-000,CRITICAL PART,0.0,3J-22-199,000,000,000,,,$0.000,1/1/1900,0.00,0,,0
3J-22-228,,"MIRROR, SIDE VIEW, A-MODEL",0000205791,000-000-000,CRITICAL PART,0.0,3J-22-228,000,000,000,00003,,$18.440,1/1/1900,1.00,1,,0
3J-22-233,,HEAD ASSEMBLY,0000205791,000-000-000,CRITICAL PART,0.0,3J-22-233,000,000,000,00003,,$269.960,1/1/1900,0.00,0,,0
3J-22-238,,"MIRROR, RH",0000205791,000-000-000,CRITICAL PART,0.0,3J-22-238,000,000,000,,,$374.070,1/1/1900,0.00,0,,0
3J-22-80,,ARM,0000205791,000-000-000,CRITICAL PART,0.0,3JS-22-442,000,000,000,,,$339.890,1/1/1900,0.00,0,,15
3J-23-2,,"FENDER, REAR OF RH WHEEL, 102",0000205791,083-000-000,Part,0.0,3J-23-2,000,083,000,00003,,$155.510,1/1/1900,1.00,0,,0
3J-23-3,,"FENDER RAIL, RH REAR, TIRE",0000205791,000-000-000,CRITICAL PART,0.0,3J-23-3,000,000,000,00003,,$388.710,1/1/1900,1.00,1,,0
3J-23-4,,"FENDER, RH FRT-LH RR-96-A3-102D",0000205791,000-000-000,CRITICAL PART,0.0,3J-23-4,000,000,000,00003,,$161.670,1/1/1900,0.00,0,,0
3J-23-5,,"FENDER, LH FRT-RH RR-96/102",0000205791,000-000-000,CRITICAL PART,0.0,3J-23-5,000,000,000,,,$154.230,1/1/1900,0.00,0,,0
3J-27-1,MEZ GLS 10,"GLASS, PLEXI UPPER WINDSHIELD",0000205791,000-000-000,Part,0.0,3J-27-1,000,000,000,00003,,$240.280,1/1/1900,1.00,1,,0
3J-27-132,,"GLASS, PLEXI, UPPER WINDSHIELD, 96A",0000205791,000-000-000,CRITICAL PART,0.0,3J-27-132,000,000,000,00003,,$311.800,1/1/1900,1.00,1,,0
3J-27-17,MEZ GLS 02,"GLASS, WINDSHIELD, FRONT 96/102",0000205791,000-000-000,Part,10.0,3J-27-17,000,000,000,00003,,$199.313,7/14/2025,25.00,9,,20
3J-27-185,,"GLASS, ENTRANCE DOOR UPPER, DOUBLE GLAZE",0000205791,000-000-000,CRITICAL PART,0.0,3J-27-185,000,000,000,,,$182.850,1/1/1900,0.00,0,,0
3J-27-186,,"RUBBER, GLAZING",0000205791,000-000-000,CRITICAL PART,0.0,3J-27-186,000,000,000,00003,,$20.760,1/1/1900,0.00,0,,0
3J-27-218,,WEATHERSTRIP,0000205791,083-000-000,CRITICAL PART,0.0,3J-27-218,000,083,000,,,$25.000,1/1/1900,0.00,0,,0
3J-27-221,,"FENSE, WINDSHIELD, 96A (SAME AS 3J-27-27",0000205791,000-000-000,CRITICAL PART,0.0,3J-27-221,000,000,000,00003,,$276.380,1/1/1900,1.00,1,,0
3J-27-222,SP/ORDER,WEATHERSTRIP,0000205791,083-000-000,Part,0.0,3J-27-222,000,083,000,00003,,$23.990,1/1/1900,0.00,0,,0
3J-27-227,,"PANEL, MOLDED ACC, LAVATORY",0000205791,071-000-000,CRITICAL PART,0.0,3J-27-227,000,071,000,,,$218.410,1/1/1900,0.00,0,,0
3J-27-24,MEZ GLS 01,"GLASS, SIDE, PASSENGER, MCI",0000205791,000-000-000,Part,5.0,3J-27-24,000,000,000,00003,,$161.670,5/31/2017,2.00,2,,0
3J-27-268,SP/ORDER,"FENCE, WINDSHIELD, SEE NOTES, FITS 1221",0000205791,000-000-000,Part,0.0,3J-27-268,000,000,000,00003,,$267.130,1/1/1900,1.00,1,,0
3J-27-27,,SEAL- WINDOW ( SAME AS 3J-27-221 ),0000205791,000-000-000,CRITICAL PART,0.0,3J-27-27R,000,000,000,00006,,$320.710,1/1/1900,1.00,1,,0
3J-27-28,,"GLASS, ENTRANCE DOOR, SINGLE",0000205791,000-000-000,CRITICAL PART,0.0,3J-27-28,000,000,000,,,$90.950,1/1/1900,0.00,0,,0
3J-27-66,,"GLASS, LOWER ENT. DOOR, 96A",0000205791,000-000-000,Part,0.0,3J-27-66,000,000,000,,,$75.600,1/1/1900,1.00,1,,0
3J-27-89,C 03,"SEAL, SASH, INSIDE, PASS WINDOW,STANDARD",0000205791,000-000-000,Part,6.0,3J-27-89,000,000,000,00003,,$22.880,1/1/1900,1.00,1,,0
3J-29-15,C 05,SPRING RETAINER BAGGAGE BRACKET,0000205791,000-000-000,Part,1.0,3J-29-15,000,000,000,00003,,$21.070,1/1/1900,1.00,1,,0
