Number,Bin,Description,Vendor,VMRS Code,Type,On Hand Total,Alt Part Num,Inter VMRS,Major VMRS,Minor VMRS,Prev PO Facility,Tank Facility,Order Price,Last Order Date,Reorder Qty,Reorder Point,Manufacturer,Avg Ship Days
 T06-1051,KIT 02,"KIT, REPAIR FOR HT/S CLUTCHES",0000205791,000-000-000,Part,1.0, T06-1051,000,000,000,00003,,$285.680,1/1/1900,1.00,1,,0
00000,/SPORDER,,0000246865,000-000-000,Part,0.0,00000,000,000,000,00003,,$0.000,1/1/1900,1.00,1,,0
000000000000,/SPORDER,,0000000010,000-000-000,Part,0.0,000000000000,000,000,000,00003,,$5.900,1/1/1900,1.00,1,,0
000000004795,/SPORDER,BOLT,0000311100,000-000-000,Part,0.0,000000004795,000,000,000,00003,,$0.000,1/1/1900,1.00,1,,0
000000004913,/SPORDER,BOLT,0000311100,000-000-000,Part,0.0,000000004913,000,000,000,00003,,$6.120,1/1/1900,1.00,1,,0
000-2855,,"CHAIN, TIRE 315/80R22.5",0000105728,000-000-000,Part,0.0,2855,000,000,000,,,$141.870,1/1/1900,1.00,1,,0
0005330280,,"SEALING RING, TRUCK 8573",0000311100,000-000-000,CRITICAL PART,0.0,0005330280,000,000,000,00003,,$8.830,1/1/1900,1.00,1,,0
0019904605,/SPORDER,STUD,0000311100,000-000-000,Part,0.0,0019904605,000,000,000,00003,,$0.000,1/1/1900,1.00,1,,0
002 546 62 30,/DRHT,"HOSE, INSULATING",0000105603,000-000-000,Part,0.0,002 546 62 30,000,000,000,00003,,$75.000,1/1/1900,1.00,1,,0
0020615,,"BUMPER, REAR, WHITE, AIRPORTER",0000105760,000-000-000,CRITICAL PART,0.0,0020615,000,000,000,00003,,$313.550,1/1/1900,1.00,1,,0
0021680,,"LIGHT, LICENSE PLATE",0000105760,000-000-000,CRITICAL PART,0.0,0021680,000,000,000,00003,,$7.050,1/1/1900,1.00,1,,0
0025358831,/RETURN,SENSOR,0000311100,000-000-000,Part,0.0,0025358831,000,000,000,00003,,$241.750,1/1/1900,1.00,1,,0
0028619,,"LIGHT, BRAKE, CENTER, 11"" LED",0000105760,000-000-000,CRITICAL PART,0.0,0028619,000,000,000,00003,,$18.000,1/1/1900,1.00,1,,0
0029581-51,/DRHT,"MOTOR, DOOR, TOMMY",0000105760,000-000-000,Part,0.0,0029581-51,000,000,000,00003,,$167.570,1/1/1900,1.00,1,,0
004653CORE,/CORE,"CORE, B500R TRANSMISSION",0000311100,000-000-000,Core,0.0,ZZ004653CORE,000,000,000,,,"$10,000.000",1/1/1900,0.00,0,,0
008357001,E 04,"BULB, VANHOOL, 12V 65W HEADLIGHT",0000000010,000-000-000,Part,4.0,008357001,000,000,000,00003,,$13.350,1/1/1900,1.00,0,,0
00A,,"GLASS, LAV, SINGLE GLZ 96/102",0000205791,000-000-000,CRITICAL PART,0.0,00A,000,000,000,,,$193.640,1/1/1900,0.00,0,,0
01-01-1010,A 01,BUSHING-LOWER,0000205791,000-000-000,Part,4.0,01-01-1010,000,000,000,00003,,$15.440,3/8/2013,1.00,1,,0
01-01-1013,,"SCREW, STOP, KING PIN KIT 01-01-1079",0000205791,000-000-000,CRITICAL PART,0.0,01-01-1013,000,000,000,,,$0.000,1/1/1900,1.00,1,,0
01-01-1029,,"ARM, TIE ROD, VINTAGE PARTS",0000205791,000-000-000,Part,0.0,01-01-1029,000,000,000,00003,,$259.950,1/1/1900,1.00,1,,0
01-01-1034,A 01,SENSOR ABS FRONT & TAG E3,0000205791,000-000-000,Part,2.0,6344419,000,000,000,00003,,$42.210,5/20/2025,1.00,2,,7
01-01-1053,A 01,"SCREW, CAP",0000205791,000-000-000,Part,6.0,6332502,000,000,000,00003,,$16.840,3/11/2025,1.00,1,,0
01-01-1054,MEZ E,"RELAY ARM, STEERING, EMODLE",0000000100,000-000-000,Part,2.0,01-01-1054,000,000,000,00003,,$910.000,1/1/1900,1.00,1,,0
01-01-1074,A 01,SENSOR ABS DRIVE AXLE ONLY E3,0000205791,013-000-000,Part,3.0,01-01-1074,000,013,000,00003,,$67.580,7/9/2019,2.00,1,,7
01-01-1076,/RETURN,DO NOT ORDER! SEE NOTES!!!,0000205791,015-034-000,Part,0.0,01-01-1076,034,015,000,00003,,$274.870,1/1/1900,2.00,1,,30
01-01-1077,/RETURN,DO NOT ORDER! CHECK NOTES!!!,0000205791,015-034-000,Part,0.0,01-01-1077,034,015,000,00003,,$253.740,1/1/1900,2.00,1,,0
01-01-1080,/SPORDER,"AXLE, FULL, 8266",0000205791,000-000-000,Part,0.0,01-01-1080,000,000,000,00003,,"$8,000.000",1/1/1900,1.00,1,,0
01-01-1083,A 04,TIE ROD END LEFT FRONT E-MOD,0000205791,000-000-000,Part,2.0,6408712,000,000,000,00003,,$423.160,1/27/2025,1.00,1,,0
01-01-1084,A 04,TIE ROD END RIGHT FRONT E-MOD,0000205791,000-000-000,Part,2.0,6408713,000,000,000,00003,,$423.160,1/27/2025,1.00,1,,0
01-01-1145,,"NUT, SLOTTED, STEERING ARM",0000205791,000-000-000,Part,0.0,01-01-1145,000,000,000,00003,,$5.610,1/1/1900,1.00,1,,0
01-01-1177,U 03,"KIT-BEARING UNIT, STE",0000205791,000-000-000,Part,1.0,01-01-1177,000,000,000,00003,,$425.450,1/1/1900,1.00,1,,0
01-02-1011,A CORNER,ROD ASM-END & TIE,0000205791,000-000-000,Part,0.0,01-02-1011,000,000,000,00003,,"$2,574.790",1/1/1900,1.00,1,,0
01-02-1025,/SPORDER,"TIE ROD, WITH ENDS, PERMA-LUBE, NO ZERK",0000205791,000-000-000,Part,0.0,01-02-1025,000,000,000,00003,,$412.070,1/1/1900,1.00,1,,0
01-02-1027,/SPORDER,"TIE ROD END, LH",0000205791,000-000-000,Part,0.0,01-02-1027,000,000,000,00003,,$159.390,1/1/1900,1.00,1,,0
01-02-1028,/SPORDER,"TIE ROD END, RH SIDE",0000205791,000-000-000,Part,0.0,01-02-1028,000,000,000,00003,,$159.390,1/1/1900,1.00,1,,0
01-02-6200,A 01,TIE ROD END L/H E-MODEL LATE MODEL,0000205791,000-000-000,Part,1.0,01-02-6200,000,000,000,00003,,$123.670,1/1/1900,1.00,2,,0
01-02-6201,A 01,TIE ROD END R/H E-MODEL LATE MODEL,0000205791,000-000-000,Part,1.0,01-02-6201,000,000,000,00003,,$124.000,1/1/1900,1.00,2,,0
01224,,"KIT, SPACER, RICON",0000000007,000-000-000,Part,0.0,01224,000,000,000,,,$17.630,1/1/1900,1.00,1,,0
0127,FF 17,"LATCH, BARN DOOR, SUMMIT TRUCK BODY",0000000100,000-000-000,Part,0.0,0127,000,000,000,00003,,$62.000,1/1/1900,1.00,1,,0
01-27110-016,BAY 1 WALL,"BELT, TRUCK, 661, 662, 671",0000311100,000-000-000,Part,5.0,01-27110-016,000,000,000,00003,,$51.900,8/18/2016,1.00,1,,0
01-29866-094,BAY 1 WALL,"BELT, FITS 7664",0000246865,000-000-000,Part,5.0,01-29866-094,000,000,000,00003,,$77.100,1/1/1900,1.00,1,,0
0139976246,/SPORDER,SHAFT SEAL,0000000007,000-000-000,Part,0.0,0139976246,000,000,000,00003,,$39.880,1/1/1900,1.00,1,,0
016454,ZSP/ORDER,BRAKE COMPONENT -5/8X3/8 45 FITT,0000000010,000-000-000,Part,0.0,016454,000,000,000,,,$16.550,5/15/2025,1.00,1,,0
019009,,"YOKE, SLACK ADJUSTER",0000000010,000-000-000,CRITICAL PART,0.0,019009,000,000,000,,,$0.000,1/1/1900,1.00,1,,0
019067,,"PIN, COTTER 1/2 IN",0000000010,000-000-000,Part,0.0,019067,000,000,000,,,$0.000,1/1/1900,1.00,1,,0
02-01-1039,A BOTTOM,"SEAL, ASSY FACE",0000205791,000-000-000,Part,1.0,02-01-1039,000,000,000,,,$12.980,1/1/1900,1.00,1,,0
02-01-1062,U 04,"NUT, LOCKNUT BEARING",0000205791,000-000-000,Part,5.0,02-01-1062,000,000,000,00003,,$9.020,3/14/2016,4.00,4,,0
02-01-1368,,O-RING,0000205791,000-000-000,SHOP SUPPLIES,0.0,02-01-1368,000,000,000,00003,,$0.000,1/1/1900,1.12,1,,0
02-01-1370,,"SEAL, SHAFT",0000205791,000-000-000,Part,0.0,02-01-1370,000,000,000,00003,,$33.640,1/1/1900,1.00,1,,0
02-01-1394,,"SEAL, SHAFT",0000205791,000-000-000,Part,0.0,02-01-1394,000,000,000,00003,,$104.170,1/1/1900,1.00,1,,0
020223,,VEHICLE KIT MET SM FULL,0000256141,000-000-000,Part,0.0,020223,000,000,000,00003,,$37.250,1/1/1900,1.00,1,,0
02-03-1028,A 07,"SEAL, PINION, DIFFERENTIAL",0000205791,000-000-000,Part,6.0,02-03-1028,000,000,000,00003,,$59.580,1/1/1900,1.00,2,,0
02032298,,"GEAR, ALT DRIVE, 8V92",0000205791,000-000-000,CRITICAL PART,0.0,02032298,000,000,000,,,$0.000,1/1/1900,0.00,0,,15
02-07-1044,A BOTTOM,"END ASM-TIE ROD,LH,STRAIGHT",0000205791,000-000-000,Part,2.0,02-07-1044,000,000,000,00003,,$71.050,12/4/2012,1.00,2,,0
02-07-1045,A BOTTOM,"END ASM-TIE ROD,RH,STRAIGHT",0000205791,000-000-000,Part,2.0,02-07-1045,000,000,000,00003,,$71.660,12/4/2012,1.00,2,,0
02-07-1048,,SUPPORT ASM-CENTERING CYLINDER,0000205791,000-000-000,Part,0.0,02-07-1048,000,000,000,00003,,$258.160,1/1/1900,1.00,1,,0
02-07-1060,,"ROD, ASM-END AND TIE, 102 E",0000205791,000-000-000,Part,0.0,02-07-1060,000,000,000,00003,,$296.050,1/1/1900,1.00,1,,0
0212,,PASS LT SPIDER,0000105728,000-000-000,Part,0.0,0212,000,000,000,00003,,$10.790,1/1/1900,1.00,1,,0
022028,,"HOSE, 5TH WHEEL COIL HOSE, SEMI TRUCK",0000000010,000-000-000,CRITICAL PART,0.0,022028,000,000,000,00003,,$15.100,1/1/1900,1.00,1,,0
0230,,"AIR CLEANER, TRUCK 8573",0000311100,000-000-000,CRITICAL PART,0.0,0230,000,000,000,00003,,$103.550,1/1/1900,1.00,1,,0
02300-14,/DRHT,"SENDER, FUEL, TOMMY",0000105760,000-000-000,Part,0.0,02300-14,000,000,000,00003,,$83.790,1/1/1900,1.00,1,,0
02389,,"MUFFLER, 3/4 TON CHEVY VAN",0000000066,000-000-000,CRITICAL PART,0.0,02389,000,000,000,,,$64.990,1/1/1900,0.00,0,,0
023907,/SPORDER,HOSE CON W/SPRNG GARD 3/8 X 3/8 MALE NPT,0000000027,000-000-000,SHOP SUPPLIES,0.0,023907,000,000,000,00003,,$7.220,1/1/1900,1.00,1,,0
030084,,"EXHAUST FILTER, AIR SOUND MUFFLER",0000000010,000-000-000,CRITICAL PART,0.0,030084,000,000,000,00003,,$6.900,1/1/1900,1.00,1,,0
03-01-1012,/SPORDER,"RAIL, GRAB, RH, FORMED",0000205791,000-000-000,Part,0.0,03-01-1012,000,000,000,00003,,$263.110,1/1/1900,1.00,1,,0
03-01-1142,A 09,"COVER-DASH,RH ( PART PIC IMAGE VIEWER )",0000999999,000-000-000,Part,2.0,03-01-1142,000,000,000,00102,,$105.260,1/1/1900,1.00,1,,0
03-01-1893,,"COVER, RH, DASH",0000205791,000-000-000,Part,0.0,03-01-1893,000,000,000,00003,,$58.250,1/1/1900,1.00,1,,0
03-02-1028,/SPORDER,"GRAB RAIL, PASS, MOD PANEL",0000205791,000-000-000,Part,0.0,03-02-1028,000,000,000,00003,,$353.000,1/1/1900,1.00,1,,0
03-02-1038,,"GRAB RAIL, STEPWELL, E/J MODEL, TEST",0000205791,000-000-000,Part,0.0,03-02-1038,000,000,000,00003,,$204.190,1/1/1900,1.00,1,,0
03-04-1001R009,A TOP,"FLOORING, YELLOW, 1ST STEP",0000205791,000-000-000,SHOP SUPPLIES,1.0,03-04-1001R009,000,000,000,00003,,$27.290,1/1/1900,1.00,1,,0
03-04-1154,PTEMOD01,TREAD STEP EDGE TOP #5 J MODEL,0000205791,000-000-000,Part,1.0,03-04-1154,000,000,000,,,$42.140,1/1/1900,1.00,1,,0
03-04-1154R0156,A TOP,FLOORING-NOSING TREAD STEP -E MODEL,0000205791,000-000-000,Part,0.0,03-04-1154R0156,000,000,000,,,$39.460,1/1/1900,1.00,1,,0
03-05-1014,B 12,"SUPPORT, BOTTOM",0000205791,000-000-000,SHOP SUPPLIES,5.0,03-05-1014,000,000,000,00003,,$0.000,1/1/1900,1.00,1,,0
03-05-1048,C CORNER,"COVER-RELEASE BAR,STD,61.62"" LG",0000205791,000-000-000,CRITICAL PART,0.0,03-05-1048,000,000,000,00003,,$24.360,5/4/2018,1.00,1,,0
03-05-1180,EE/FF COR,"BLIND, UPPER WINDSHIELD, DRIVERS, MCI",0000205791,000-000-000,Part,3.0,03-05-1180,000,000,000,00003,,$102.550,10/15/2012,1.00,1,,0
03-05-1215,/SPORDER,BLIND ASM-MOTORIZED DRIVERS,0000205791,000-000-000,Part,0.0,03-05-1215,000,000,000,00003,,$525.900,1/1/1900,1.00,1,,0
03-05-1238,/SPORDER,"BLIND ASM-MOTORIZED,PASSANGER",0000205791,000-000-000,Part,0.0,03-05-1238,000,000,000,00003,,$525.900,1/1/1900,1.00,1,,0
03-05-1244,/SPORDER,GUIDE-SIDE,0000205791,000-000-000,SHOP SUPPLIES,0.0,03-05-1244,000,000,000,00003,,$0.000,1/1/1900,1.00,1,,0
03-05-1245,,"BLIND, MANUAL, PASSENGER SIDE",0000205791,000-000-000,Part,0.0,03-05-1245,000,000,000,00003,,$305.190,1/1/1900,1.00,1,,0
03-05-1246,/SPORDER,"BLIND, MANUAL, DRIVERS SIDE",0000205791,000-000-000,Part,0.0,03-05-1246,000,000,000,00003,,$292.360,1/1/1900,1.00,1,,0
03-05-1281,EE CORNER,"BLIND, ASM, MOTORIZED, DRIVER'S SIDE",0000205791,000-000-000,Part,1.0,03-05-1281,000,000,000,00003,,$569.670,1/1/1900,1.00,1,,0
03-05-1290, ZSP/ORDER,"BLIND, PASS SIDE, MOTOR, FITS 1244",0000205791,000-000-000,Part,0.0,03-05-1290,000,000,000,00003,,$639.310,1/1/1900,1.00,1,,0
03-06-1002,/SPORDER,"MIRROR-INTERIOR,REAR,W/SAF.GLS",0000205791,000-000-000,Part,0.0,03-06-1002,000,000,000,00003,,$27.460,1/1/1900,1.00,1,,0
03-06-1008,/SPORDER,BRACKET S/A-INTERIOR MIRROR,0000205791,000-000-000,Part,0.0,03-06-1008,000,000,000,00003,,$196.360,1/1/1900,1.00,1,,0
03-07-1001,A 09,BLOWER-PARCEL RACK ( PART PIC IMAGE VIEW,0000205791,000-000-000,Part,0.0,03-07-1001,000,000,000,00102,,$180.740,1/1/1900,1.00,1,,0
03-07-1126,,"MOTOR, 24V BLIND",0000205791,000-000-000,Part,0.0,03-07-1126,000,000,000,00003,,$183.680,1/1/1900,1.00,1,,0
030-7946,/SPORDER,ELBOW,0000105961,000-000-000,Part,0.0,030-7946,000,000,000,00003,,$6.630,1/1/1900,1.00,1,,0
03-08-1003,,"COVER, CEILING PANEL,LENS RETAINER",0000205791,000-000-000,Part,0.0,03-08-1003,000,000,000,00003,,$9.470,1/1/1900,1.00,1,,0
03-08-1039,,PASSENGER SERVICE PANEL,0000205791,000-000-000,Part,0.0,03-08-1039,000,000,000,00003,,$163.340,1/1/1900,1.00,1,,0
03-08-1042,A 10,SPEAKER ASM-AISLE,0000205791,000-000-000,Part,3.0,03-08-1042,000,000,000,00003,,$48.960,1/1/1900,1.00,1,,0
03-08-1057,A 10,BRACKET-STRIKER,0000205791,000-000-000,SHOP SUPPLIES,0.0,03-08-1057,000,000,000,00003,,$0.000,9/19/2017,5.00,1,,0
03-08-1094,/SPORDER,"SPRING-DOOR,RACK,PARCEL,RH",0000205791,000-000-000,Part,0.0,03-08-1094,000,000,000,00003,,$0.000,1/1/1900,1.00,1,,0
03-08-1095,/SPORDER,"SPRING-DOOR,RACK,PARCEL,LH",0000205791,000-000-000,Part,0.0,03-08-1095,000,000,000,00003,,$0.000,1/1/1900,1.00,1,,0
03-08-1160,A 10,SWITCH READING LIGHT E4500 ( IMAGE ),0000205791,000-000-000,Part,8.0,03-08-1160,000,000,000,00003,,$35.160,2/23/2017,1.00,2,,0
03-08-1162,E 07 BL 4,"BULB, PASS. SERVICE MODULE",0000205791,000-000-000,SHOP SUPPLIES,9.0,03-08-1162,000,000,000,00003,,$0.000,1/1/1900,20.00,5,,0
03-08-1169,A 10,LENS PASSENGER SERVICE MODULE ( IMAGE ),0000999999,000-000-000,CRITICAL PART,8.0,03-08-1169,000,000,000,00102,,$9.070,1/1/1900,2.00,1,,0
03-08-1175,A 10,"LATCH-DOOR,PARCEL RACK ( IMAGE )",0000205791,000-000-000,Part,2.0,03-08-1175,000,000,000,00003,,$22.560,9/19/2017,1.00,3,,0
03-08-1364,C CORNER,"THRESOLD, PARCEL RACK, GREY",0000205791,000-000-000,Part,11.0,03-08-1364,000,000,000,00003,,$59.210,6/8/2018,2.00,2,,0
03-08-3311,C 10,"SHOCK, PARCEL RACK",0000205791,000-000-000,Part,6.0,3L-8-1203CG,000,000,000,00003,,$18.740,4/4/2013,4.00,2,,0
03-08-3693,A 09,"MODULE, SERVICE, PASSENGER",0000205791,000-000-000,Part,2.0,03-08-3693,000,000,000,00003,,$148.730,1/1/1900,2.00,2,,0
03-08-3898,/SPORDER,THRESOLD ASM-PARCEL RACK,0000205791,000-000-000,Part,0.0,03-08-3898,000,000,000,00003,,$24.930,1/1/1900,1.00,1,,0
03-08-6188,M 03 BL 4,REFLECTOR,0000205791,000-000-000,SHOP SUPPLIES,1.0,03-08-6188,000,000,000,00003,,$0.000,1/1/1900,1.00,1,,0
03-09-1018,A 10,"GUIDE-SIDE RAIL,2/SET ( IMAGE )",0000205791,000-000-000,Part,0.0,03-09-1018,000,000,000,00102,,$6.310,1/1/1900,1.00,1,,0
03-09-1023,/SPORDER,STOP-END,0000205791,000-000-000,Part,0.0,03-09-1041,000,000,000,00003,,$0.000,1/1/1900,1.00,1,,0
03-09-1024,/SPORDER,STOP-BUMPER,0000205791,000-000-000,Part,0.0,03-09-1024,000,000,000,00003,,$0.000,1/1/1900,1.00,1,,0
03-09-1052,A 10,GUIDE SET BLINDS,0000205791,000-000-000,CRITICAL PART,12.0,03-09-1052,000,000,000,00003,,$10.930,1/23/2018,1.00,1,,0
03-09-1054,Z CORNER,"SHADE ASM-65"" LONG",0000205791,000-000-000,Part,0.0,03-09-1054,000,000,000,00003,,$243.100,1/1/1900,0.00,0,,0
03-09-1073,,tube-head rail 65 IN,0000205791,000-000-000,Part,0.0,03-09-1073,000,000,000,00003,,$0.000,3/2/2016,1.00,1,,0
03-09-1200,Z CORNER,SHADE ASM-BOTTOM BLACK/BLACK,0000205791,000-000-000,Part,0.0,03-09-1200,000,000,000,00003,,$134.140,5/20/2025,1.00,1,,0
03-09-1201,Z CORNER,"SHADE ASM, BLACK",0000205791,000-000-000,Part,3.0,03-09-1201,000,000,000,00003,,$128.180,1/1/1900,1.00,1,,0
030B,,"GLASS, SIDE, THOMAS BUILT",0000107305,000-000-000,CRITICAL PART,0.0,030B,000,000,000,00003,,$91.400,1/1/1900,1.00,1,,0
03-10-1005,A 10,"CYLINDER-CLAW,ENTRANCE DOOR",0000205791,000-000-000,CRITICAL PART,1.0,03-10-1005,000,000,000,00003,,$163.300,1/1/1900,1.00,1,,0
03-10-1013,A 10,PLUNGER-LOWER LATCH,0000205791,000-000-000,CRITICAL PART,2.0,03-10-1013,000,000,000,00003,,$73.950,1/1/1900,1.00,1,,0
03-10-1014,A 10,PLUNGER-TOP LATCH,0000205791,000-000-000,Part,4.0,03-10-1014,000,000,000,00003,,$29.990,1/1/1900,1.00,1,,0
03-10-1023,/SPORDER,"DAMPER, DOOR, SHOCK",0000205791,000-000-000,Part,0.0,03-10-1023,000,000,000,00003,,$47.410,1/1/1900,1.00,1,,0
03-10-1024,A 11,"LATCH, UPPER",0000205791,000-000-000,Part,3.0,03-10-1024,000,000,000,00003,,$326.650,1/1/1900,1.00,1,,0
03-10-1026,,"VALVE, QUICK RELEASE",0000205791,000-000-000,Part,0.0,03-10-1026,000,000,000,00003,,$38.820,1/1/1900,1.00,1,,0
03-10-1093,,"CABLE-CONTROL,REMOTE BUMP",0000205791,000-000-000,Part,0.0,03-10-1093,000,000,000,00003,,$24.040,1/1/1900,1.00,1,,0
03-10-1108,,"STRIKER ASSY, LOWER",0000205791,000-000-000,Part,0.0,03-10-1108,000,000,000,00003,,$157.030,1/1/1900,1.00,1,,0
03-10-1125,,"BRACKET, DOOR ACTUATOR",0000205791,000-000-000,Part,0.0,03-10-1125,000,000,000,00003,,$338.340,1/1/1900,1.00,1,,0
03-10-1128,,"CYLINDER, AIR, ENTRANCE DOOR",0000205791,000-000-000,CRITICAL PART,0.0,03-10-1128,000,000,000,,,$650.000,1/1/1900,1.00,1,,0
03-10-1132,C 02,"BOOT, HINGE DOOR, 102D",0000205791,000-000-000,Part,1.0,03-10-1132,000,000,000,00003,,$285.400,5/31/2017,1.00,1,,0
03-11-1075,BB 01,QSTRAINT-WHEELCHAIR RESTRAINTS,0000205791,000-000-000,Part,4.0,03-11-1075,000,000,000,00003,,$235.850,1/1/1900,1.00,1,,0
03-12-1020,A 11,SEAT BELT RETRACTABLE SIDE E4500,0000205791,000-000-000,Part,2.0,03-12-1020,000,000,000,00003,,$151.600,6/3/2013,1.00,1,,0
03-123207-002,,"DRUM, BAG TRUCK REAR 16""X""7 (425)",0000000010,000-000-000,Part,0.0,03-123207-002,000,000,000,,,$90.000,1/1/1900,1.00,1,,0
03-14-1026,MEZ GLS 11,"GLASS, DRIVER WINDOW, COMPLETE ASSEMBLY",0000205791,000-000-000,Part,0.0,03-14-1026,000,000,000,00003,,"$1,701.190",1/1/1900,1.00,1,,0
03-14-1027,MEZ GLS 12,"SASH ASM-UPPER,FIXED",0000205791,000-000-000,Part,0.0,03-14-1027,000,000,000,00003,,$448.990,1/1/1900,1.00,1,,0
03-14-1033,MEZ SHLF 3,GLASS,0000205791,000-000-000,Part,1.0,03-14-1033,000,000,000,00003,,$224.330,1/1/1900,1.00,1,,0
03-14-1038,,"LOCK, ASSEMBLY, DRIVERS WINDOW",0000205791,000-000-000,Part,0.0,03-14-1038,000,000,000,00003,,$193.110,1/1/1900,1.00,1,,0
03-15-1073,,"KET, DECAL SEATING",0000205791,000-000-000,CRITICAL PART,0.0,03-15-1073,000,000,000,,,$19.980,1/1/1900,2.00,1,,0
03-15-1076,EE 05,"DECAL, WATCH YOUR STEP, E MODLE",0000205791,000-000-000,Part,4.0,03-15-1076,000,000,000,00003,,$8.420,10/31/2012,4.00,2,,0
03-15-1164,/SPORDER,STRAP-TRASH CAN,0000999999,000-000-000,Part,0.0,03-15-1164,000,000,000,00003,,$7.690,1/1/1900,1.00,1,,0
03-15-1378,EE 05,"DECAL, RESERVED FOR DRIVER",0000205791,000-000-000,SHOP SUPPLIES,6.0,03-15-1378,000,000,000,00003,,$0.000,10/31/2012,5.00,2,,0
03-15-1427,EE 04,"DECAL, PASS WINDOW RELEASE",0000205791,000-000-000,Part,40.0,03-15-1427,000,000,000,00003,,$9.980,4/18/2016,5.00,2,,0
03-15-1428,EE 04,"DECAL, EMERGENCY EXIT R/H",0000205791,000-000-000,Part,42.0,03-15-1428,000,000,000,00003,,$10.380,7/22/2013,8.00,4,,0
03-15-1429,EE 04,"DECAL, EMERGENCY EXIT L/H",0000205791,000-000-000,Part,57.0,03-15-1429,000,000,000,00003,,$10.490,7/9/2019,8.00,4,,0
03-15-1430,,"DECAL, EXIT",0000205791,000-000-000,Part,0.0,03-15-1430,000,000,000,,,$0.000,1/1/1900,4.00,2,,0
03-15-1432,EE 04,"DECAL, EMERGENCY EXIT",0000205791,000-000-000,Part,65.0,03-15-1432,000,000,000,00003,,$27.500,7/9/2019,8.00,4,,0
03-15-1436,/SPORDER,"DECAL, ROOF HATCH INSTRUCTION, FIT 8886",0000205791,000-000-000,Part,0.0,03-15-1436,000,000,000,00003,,$35.540,1/1/1900,1.00,1,,0
03-15-1503,A 11,"PLATE, LOCK",0000205791,000-000-000,Part,3.0,03-15-1503,000,000,000,,,$40.090,1/1/1900,1.00,1,,0
03-15-1505,A 11,PLATE-STRIKER,0000999999,000-000-000,CRITICAL PART,3.0,03-15-1505,000,000,000,00003,,$51.790,1/1/1900,1.00,1,,0
03-15-1506,A 11,PLATE-STRIKER,0000205791,000-000-000,Part,2.0,03-15-1506,000,000,000,00102,,$34.450,1/1/1900,1.00,1,,0
03-15-2018,,"DECAL, COURTESY SEATING-HANDICAP/WALKER",0000205791,000-000-000,Part,0.0,03-15-2018,000,000,000,,,$0.000,1/1/1900,8.00,4,,0
03-15-2071,,DECAL-COACH HEIGHT,0000205791,000-000-000,CRITICAL PART,0.0,03-15-2071,000,000,000,00102,,$6.880,1/1/1900,3.00,1,,0
03-15-3836,,"COVER ASM-TRIM,ROOF HATCH",0000205791,000-000-000,Part,0.0,03-15-3836,000,000,000,00003,,$141.030,1/1/1900,1.00,1,,0
03-15-7257,EE 04,"NAME PLATE-EMERG,EXIT, FRENCH",0000205791,000-000-000,Part,0.0,03-15-7257,000,000,000,00003,,$6.470,1/1/1900,1.00,1,,0
03-15-7274,EE 04,"NAME PLATE-EMERG,EXIT, ENGLISH",0000205791,000-000-000,SHOP SUPPLIES,15.0,03-15-7274,000,000,000,,,$0.000,1/1/1900,1.00,1,,0
03-16-1405,/SPORDER,EXTRUSION ( SEE NOTES ),0000205791,000-000-000,Part,0.0,03-16-1405,000,000,000,00003,,$37.210,1/1/1900,1.00,1,,0
03-16-1503,,"COMPARTMENT, DRIVERS ASSY",0000205791,000-000-000,CRITICAL PART,0.0,03-16-1503,000,000,000,00003,,$0.000,1/1/1900,1.00,1,,0
03-16-1894,/SPORDER,"PANEL, DASH, END CAP, FITS 1238",0000205791,000-000-000,Part,0.0,03-16-1894,000,000,000,00003,,$49.930,1/1/1900,1.00,1,,0
03-16-1964,MEZ D,"DUCT, HEAT, ADA DOOR",0000205791,000-000-000,Part,4.0,03-16-1964,000,000,000,00003,,$240.490,1/1/1900,1.00,1,,0
03-16-3625,/SPORDER,SENSOR ASM-SENIX,0000205791,000-000-000,Part,0.0,03-16-3625,000,000,000,00003,,$767.780,1/1/1900,1.00,1,,0
03-17150-001,/SPORDER,"ELBOW, 90, AIR INTAKE, FREIGHTLINER",0000311100,000-000-000,Part,0.0,03-17150-001,000,000,000,00003,,$22.240,1/1/1900,1.00,1,,0
032 545 48 32,/DRHT,CONTROL UNIT,0000105603,000-000-000,Part,0.0,032 545 48 32,000,000,000,00003,,$920.000,1/1/1900,1.00,1,,0
03-20-1070,/RETURN,"RAIL, RUB, RUBBER, FUEL DOOR NOT D MODEL",0000205791,000-000-000,Part,0.0,03-20-1070,000,000,000,00003,,$52.470,1/1/1900,1.00,1,,0
03-21-1012,,BUMPER FRONT CENTER E4500,0000205791,000-000-000,CRITICAL PART,0.0,03-21-1012,000,000,000,00102,,$348.000,9/19/2008,1.00,1,,0
03-21-1046,PURGE,"LATCH, FRONT BUMPER",0000205791,000-000-000,Part,0.0,03-21-1046,000,000,000,00003,,$19.500,1/1/1900,1.00,1,,0
03-21-1053,A 12,SPRING FRONT BUMPER,0000205791,000-000-000,Part,1.0,03-21-1053,000,000,000,00102,,$30.130,1/1/1900,1.00,1,,0
03-21-1054,MEZ E,BUMPERETTE R/H FRONT E4500,0000205791,000-000-000,Part,0.0,03-21-1054,000,000,000,00003,,$498.980,1/1/1900,2.00,2,,0
